State,Account Length,Area Code,Phone,Int'l Plan,VMail Plan,VMail Message,Day Mins,Day Calls,Day Charge,Total Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,Intl Mins,Intl Calls,Intl Charge,CustServ Calls,Churn?,Record Date
NM,55,510,338-9873,no,no,0,119.7,148,20.35,51.29,231.8,96,19.7,222.3,113,10,4.6,2,1.24,2,False.,2020-05-28
VA,86,415,383-4322,no,yes,30,99.9,84,16.98,53.49,263.5,125,22.4,254.7,90,11.46,9.8,7,2.65,2,False.,2019-06-16
RI,176,415,401-7654,no,no,0,250.9,108,42.65,66.5,171.4,100,14.57,148.6,85,6.69,9.6,6,2.59,2,False.,2019-07-13
AL,96,415,410-5455,yes,no,0,200.6,117,34.1,66.15,289.5,120,24.61,98.3,95,4.42,11.2,5,3.02,2,False.,2019-06-19
WV,11,510,419-4310,no,yes,38,209.8,130,35.67,64.76,196.6,84,16.71,233,79,10.49,7,7,1.89,1,False.,2020-10-23
WV,48,415,367-2056,no,yes,34,198,70,33.66,68.78,273.7,121,23.26,217.9,71,9.81,7.6,4,2.05,1,False.,2020-02-20
NJ,127,510,363-6695,no,no,0,239.8,107,40.77,66.03,128.9,121,10.96,249.9,110,11.25,11.3,5,3.05,1,False.,2020-10-12
TN,63,415,374-6217,no,no,0,164.5,75,27.97,54.93,147.9,118,12.57,252.7,97,11.37,11.2,2,3.02,0,False.,2019-10-03
MI,79,510,337-9569,no,no,0,220.9,107,37.55,64.43,192.2,97,16.34,161,74,7.25,12.2,2,3.29,1,False.,2020-02-12
UT,47,408,350-9720,no,yes,37,112.8,150,19.18,51.51,243.9,97,20.73,178.7,112,8.04,13.2,6,3.56,2,False.,2020-05-20
IL,89,415,380-4080,yes,yes,19,112.6,114,19.14,49.94,261.7,132,22.24,123.5,116,5.56,11.1,2,3,0,True.,2020-08-21
MI,83,510,333-7460,no,yes,26,226.4,117,38.49,67.37,234.7,97,19.95,133.6,82,6.01,10.8,7,2.92,1,False.,2020-07-26
WI,126,415,378-3722,yes,yes,34,244.9,118,41.63,72.41,219.6,105,18.67,210.8,136,9.49,9.7,6,2.62,4,False.,2019-09-06
ND,60,510,353-9339,no,no,0,203.2,99,34.54,68.78,235.8,131,20.04,224.9,112,10.12,15.1,6,4.08,2,False.,2020-07-16
VT,122,415,386-6535,no,no,0,136.7,115,23.24,54.72,243.1,137,20.66,188.9,110,8.5,8.6,4,2.32,0,False.,2020-05-07
WA,136,408,403-5575,no,no,0,152.6,97,25.94,50.41,208.9,85,17.76,119.1,99,5.36,5,10,1.35,1,False.,2019-07-31
NC,172,408,331-5962,no,yes,47,274.9,102,46.73,76,186.6,118,15.86,245,123,11.03,8.8,2,2.38,1,False.,2019-06-25
ME,102,510,390-9627,no,no,0,195.7,116,33.27,62.33,209.1,87,17.77,201.1,73,9.05,8.3,3,2.24,1,True.,2019-12-10
SD,113,415,406-4560,yes,no,0,204.3,82,34.73,59.53,188.8,115,16.05,139.4,97,6.27,9.2,7,2.48,1,False.,2019-08-09
WV,79,415,359-6931,no,no,0,222.3,99,37.79,65.02,146.2,82,12.43,275.6,82,12.4,8.9,4,2.4,3,False.,2020-04-11
ID,55,510,331-7342,no,yes,8,222.5,104,37.83,72.02,171.5,94,14.58,377.5,114,16.99,9.7,2,2.62,1,False.,2020-02-15
LA,111,415,367-2227,no,yes,28,128.8,104,21.9,44.68,157.3,52,13.37,147.4,76,6.63,10.3,2,2.78,2,False.,2019-07-29
GA,160,415,335-8836,no,no,0,174.3,105,29.63,56.37,171.3,107,14.56,220.8,131,9.94,8.3,2,2.24,0,False.,2020-10-27
FL,110,415,398-6703,no,no,0,242.5,110,41.23,65.42,162.3,140,13.8,184.1,86,8.28,7.8,3,2.11,4,False.,2019-09-25
CO,192,415,370-8379,no,no,0,221.6,101,37.67,72.87,285.2,50,24.24,167.4,83,7.53,12.7,6,3.43,4,False.,2019-08-27
NV,93,408,335-3880,no,no,0,114.3,100,19.43,46.84,221.1,103,18.79,126.3,88,5.68,10.9,9,2.94,0,False.,2019-06-26
IN,101,415,375-8761,no,yes,33,219.7,137,37.35,64.1,186.8,94,15.88,184.5,113,8.3,9.5,2,2.57,2,False.,2019-08-11
VA,77,510,367-1398,no,no,0,144.9,136,24.63,52.17,151.3,115,12.86,252.4,73,11.36,12.3,3,3.32,2,False.,2020-07-28
UT,105,415,395-7857,no,yes,40,236.5,111,40.21,62.3,117,110,9.95,221.1,115,9.95,8.1,3,2.19,2,False.,2019-07-01
UT,133,408,398-8745,no,yes,44,174,80,29.58,61.27,209.4,113,17.8,224.1,87,10.08,14.1,7,3.81,2,True.,2019-12-18
MO,131,408,386-3717,no,no,0,109.5,95,18.62,60.27,332.1,48,28.23,258.6,108,11.64,6.6,7,1.78,1,False.,2020-06-24
CT,106,510,330-1175,no,yes,33,81.6,120,13.87,43.36,235.6,85,20.03,150.9,113,6.79,9.9,4,2.67,1,False.,2020-07-09
HI,118,415,418-6752,no,no,0,133.4,113,22.68,46.02,121,92,10.29,254.7,129,11.46,5.9,4,1.59,1,False.,2019-12-06
MD,125,408,349-6464,no,no,0,137.1,94,23.31,54.19,209.8,83,17.83,238.4,114,10.73,8.6,4,2.32,1,False.,2019-08-21
VA,95,415,366-7331,no,no,0,197,88,33.49,63.56,190.4,68,16.18,211.9,104,9.54,16.1,8,4.35,0,False.,2019-08-17
MT,80,415,361-8288,no,no,0,198.1,160,33.68,57.7,156.7,87,13.32,182.1,76,8.19,9.3,3,2.51,3,False.,2020-09-26
SC,145,408,377-6635,no,no,0,39.5,78,6.72,40.25,264.3,106,22.47,185.8,90,8.36,10,6,2.7,0,False.,2020-07-23
CO,37,408,408-1513,no,no,0,199.5,107,33.92,57.53,207.5,110,17.64,83.9,123,3.78,8.1,4,2.19,2,False.,2020-08-09
ID,87,415,370-7546,no,no,0,156.8,93,26.66,57.1,215.8,68,18.34,223.3,77,10.05,7.6,6,2.05,1,False.,2020-01-09
AL,69,415,389-4278,no,no,0,183.4,85,31.18,64.07,237.6,100,20.2,228,94,10.26,9,5,2.43,3,False.,2020-06-10
CO,83,510,379-3012,no,no,0,132.4,120,22.51,44.07,121.6,101,10.34,197.7,84,8.9,8.6,2,2.32,1,False.,2020-10-02
UT,195,415,355-3620,no,no,0,63.2,108,10.74,39.12,220.2,88,18.72,184,99,8.28,5.1,3,1.38,0,False.,2020-02-07
DE,67,415,413-7743,yes,yes,35,181.1,59,30.79,63.43,215.9,116,18.35,216.3,106,9.73,16.9,4,4.56,0,True.,2019-06-22
OH,75,510,372-2296,no,yes,27,117.5,102,19.98,47.44,206.8,127,17.58,194.4,114,8.75,4.2,7,1.13,3,False.,2020-06-10
RI,123,415,333-9728,no,yes,27,218.7,79,37.18,62.94,163.4,78,13.89,173.8,116,7.82,15,1,4.05,0,False.,2019-08-06
FL,41,415,415-6110,no,yes,41,207.3,95,35.24,53.71,137.3,120,11.67,115.7,74,5.21,5.9,3,1.59,1,False.,2020-11-04
OH,75,415,340-9803,no,no,0,150.6,99,25.6,60.56,301.5,83,25.63,158.7,104,7.14,8.1,5,2.19,0,False.,2020-02-14
MD,76,415,400-7002,yes,no,0,273.3,66,46.46,79.54,263.6,121,22.41,165.2,84,7.43,12,7,3.24,1,True.,2019-09-09
IL,86,415,395-7435,yes,no,0,266.1,120,45.24,72.78,182,92,15.47,206.5,103,9.29,10.3,4,2.78,1,False.,2020-07-21
PA,140,408,336-7143,no,no,0,112.8,89,19.18,48.13,156.7,65,13.32,249.6,85,11.23,16.3,6,4.4,0,False.,2019-10-03
AZ,70,415,352-2175,no,no,0,104.7,112,17.8,36.68,82.2,104,6.99,169.4,110,7.62,15.8,7,4.27,3,False.,2020-07-01
NH,121,510,346-6352,no,yes,35,193.8,62,32.95,61.19,197.6,97,16.8,218.8,95,9.85,5.9,4,1.59,0,False.,2020-11-06
RI,112,415,405-7467,no,no,0,168.6,102,28.66,65.4,298,117,25.33,194.7,110,8.76,9.8,5,2.65,1,False.,2019-07-21
HI,118,415,379-8526,no,no,0,253.2,122,43.04,71.54,201,78,17.09,195.3,108,8.79,9.7,7,2.62,2,False.,2020-02-02
NJ,66,415,410-5713,no,yes,16,174.7,92,29.7,65.57,232.1,105,19.73,305.4,98,13.74,8.9,2,2.4,1,False.,2020-07-27
WI,78,408,408-5916,no,no,0,87,102,14.79,43.48,193.6,64,16.46,205.8,120,9.26,11,5,2.97,0,False.,2019-10-01
MD,129,415,370-5626,no,yes,34,204.5,79,34.77,58.61,132.8,113,11.29,190.1,117,8.55,14.8,9,4,2,False.,2020-06-07
OR,6,408,408-1331,no,no,0,226.5,93,38.51,61.38,152.1,122,12.93,164.4,98,7.4,9.4,4,2.54,3,False.,2019-10-15
NV,107,510,419-9688,yes,no,0,234.1,91,39.8,69.07,163.1,105,13.86,282.5,100,12.71,10,3,2.7,1,False.,2019-11-30
AR,107,415,343-5219,yes,no,0,133.3,106,22.66,52.54,182.9,89,15.55,241.1,123,10.85,12.9,2,3.48,3,True.,2020-06-23
MT,138,415,401-5586,no,no,0,133.9,87,22.76,49.77,166.4,110,14.14,193.5,139,8.71,15.4,3,4.16,1,False.,2019-07-27
CT,103,510,377-9178,no,no,0,160.2,104,27.23,55.72,138.9,70,11.81,312.5,97,14.06,9.7,2,2.62,0,False.,2020-03-15
UT,116,415,345-5639,no,yes,44,230.6,94,39.2,72.23,224.1,103,19.05,244,76,10.98,11.1,2,3,0,False.,2020-03-24
GA,189,408,336-3488,no,no,0,227.4,84,38.66,64.59,176,81,14.96,206.1,120,9.27,6.3,4,1.7,2,False.,2019-10-12
NV,161,415,414-6426,no,no,0,72.8,120,12.38,48.28,267.1,120,22.7,222.5,91,10.01,11.8,2,3.19,2,False.,2020-05-18
TN,1,415,335-5591,no,no,0,196.1,107,33.34,69.95,296.5,82,25.2,211.5,91,9.52,7,2,1.89,1,False.,2019-07-09
DE,89,408,421-9144,no,no,0,197.1,110,33.51,61.3,165.9,115,14.1,227.3,106,10.23,12.8,3,3.46,1,False.,2019-09-10
NY,64,408,422-7728,no,no,0,219.6,126,37.33,72.68,303.3,100,25.78,154.5,65,6.95,9.7,5,2.62,1,False.,2020-08-24
MT,126,415,344-3466,no,yes,30,153.4,90,26.08,49.33,151.4,97,12.87,153.8,97,6.92,12.8,4,3.46,4,True.,2020-07-04
IA,129,415,398-7978,no,no,0,216,85,36.72,63.41,186.9,114,15.89,210.7,109,9.48,4.9,10,1.32,2,False.,2020-10-08
VT,128,510,346-8368,no,yes,32,222.9,136,37.89,71.69,262,80,22.27,191.4,101,8.61,10.8,4,2.92,0,False.,2020-04-24
LA,81,415,392-2722,no,yes,36,115.9,120,19.7,54.45,236.6,95,20.11,255,90,11.48,11.7,6,3.16,3,False.,2020-01-08
MT,114,510,393-3274,no,no,0,189.8,101,32.27,55.45,147.7,80,12.55,172.7,121,7.77,10.6,5,2.86,1,False.,2020-06-29
NH,50,408,339-4636,no,no,0,154.7,102,26.3,64.09,298,108,25.33,210.2,95,9.46,11.1,3,3,0,False.,2019-09-12
WV,86,415,349-7138,no,no,0,136.4,104,23.19,53.89,202.5,110,17.21,230.7,86,10.38,11.5,1,3.11,3,False.,2020-01-23
ID,96,408,363-3295,no,no,0,170.5,86,28.99,63.18,277.5,88,23.59,162.5,117,7.31,12.2,6,3.29,1,False.,2020-09-07
AZ,72,510,407-9830,no,no,0,272.4,88,46.31,67.26,107.9,125,9.17,185.5,81,8.35,12.7,2,3.43,0,False.,2020-09-24
SC,64,510,333-8822,no,yes,40,210,116,35.7,64.67,232.7,89,19.78,168.8,94,7.6,5.9,4,1.59,8,False.,2019-11-10
WV,57,415,419-6418,yes,yes,17,236.5,94,40.21,68.01,163.1,94,13.86,236.7,117,10.65,12.2,3,3.29,2,False.,2019-07-03
OH,65,510,351-8955,no,no,0,153.9,117,26.16,59.79,220.1,122,18.71,280.5,147,12.62,8.5,3,2.3,2,False.,2020-05-10
MD,163,408,338-1840,no,no,0,223,120,37.91,68.06,227,98,19.3,188.3,125,8.47,8.8,5,2.38,1,False.,2020-04-23
MD,136,415,336-6997,no,no,0,252.4,74,42.91,71.24,167.9,81,14.27,248.3,110,11.17,10.7,3,2.89,2,False.,2020-04-21
MN,116,408,408-6266,no,no,0,197.9,84,33.64,61.96,168.1,113,14.29,239.8,145,10.79,12,6,3.24,1,False.,2020-07-08
NE,93,408,332-4291,no,no,0,152.4,74,25.91,62.38,274.6,88,23.34,252.2,120,11.35,6.6,5,1.78,3,False.,2019-09-11
MN,142,510,355-7895,no,yes,40,237.4,105,40.36,67.25,175.9,93,14.95,210.3,110,9.46,9.2,3,2.48,3,False.,2019-12-12
NY,92,408,348-2916,no,no,0,265.6,82,45.15,72.33,180.7,75,15.36,211.1,113,9.5,8.6,2,2.32,1,False.,2020-02-28
HI,70,415,339-8132,no,no,0,197.3,91,33.54,69.03,305.8,81,25.99,171,105,7.69,6.7,6,1.81,1,False.,2020-02-17
MO,22,408,374-1684,no,yes,14,199.1,100,33.85,56.79,221.8,103,18.85,65.7,91,2.96,4.2,1,1.13,1,False.,2019-11-24
NV,37,415,362-7604,no,no,0,233.7,114,39.73,70.21,207.9,109,17.67,212.7,101,9.57,12,2,3.24,2,False.,2020-07-16
MA,51,415,389-3206,no,no,0,183.1,99,31.13,60.66,160.1,107,13.61,311.8,121,14.03,7,3,1.89,1,False.,2019-09-25
NH,174,408,336-2829,no,no,0,139.4,96,23.7,48.72,143.4,108,12.19,225.2,107,10.13,10,5,2.7,2,False.,2020-08-07
UT,68,415,403-8916,no,no,0,213.9,112,36.36,71.29,260.5,100,22.14,233.8,97,10.52,8.4,3,2.27,1,True.,2020-10-03
FL,130,415,384-1135,no,no,0,207.1,70,35.21,64.31,200.1,115,17.01,194.2,100,8.74,12.4,2,3.35,1,False.,2019-12-10
WA,104,415,390-2320,no,no,0,139.7,78,23.75,53.18,202.6,119,17.22,203.6,102,9.16,11.3,5,3.05,2,False.,2019-10-20
CT,134,408,398-8578,no,no,0,177.2,91,30.12,60.7,228.7,105,19.44,194.3,113,8.74,8.9,3,2.4,2,False.,2020-10-17
KY,108,415,393-9424,no,yes,35,169.8,136,28.87,55.86,173.7,101,14.76,214.6,105,9.66,9.5,7,2.57,2,False.,2020-09-23
NM,103,415,417-6330,no,no,0,173.5,83,29.5,62.86,244.3,65,20.77,221.6,66,9.97,9.7,2,2.62,3,False.,2020-01-07
ND,62,510,340-6339,no,no,0,159.9,100,27.18,55.17,172.2,99,14.64,263.2,109,11.84,5.6,4,1.51,1,False.,2019-11-18
NV,162,415,380-6571,no,no,0,115.1,89,19.57,48.94,196.8,111,16.73,212.4,98,9.56,11.4,3,3.08,2,False.,2020-03-29
CA,93,510,368-6488,no,yes,19,136.8,113,23.26,45.1,179.5,105,15.26,71.1,95,3.2,12.5,3,3.38,2,False.,2020-10-20
ID,42,415,363-2193,no,no,0,92.2,108,15.67,42.97,211.2,120,17.95,129.1,73,5.81,13.1,6,3.54,1,False.,2020-08-04
OK,155,415,328-1206,no,yes,23,243.9,112,41.46,66.01,133,106,11.31,213.7,123,9.62,13.4,11,3.62,2,False.,2020-07-21
IA,36,510,385-3540,no,no,0,117.1,94,19.91,52.31,235.4,117,20.01,221.3,108,9.96,9,2,2.43,0,False.,2019-09-05
OH,143,415,337-7167,no,no,0,223.3,99,37.96,62.52,167.1,128,14.2,203,84,9.14,4.5,4,1.22,0,True.,2020-04-04
NJ,197,510,372-8405,no,no,0,154.8,111,26.32,53.99,171.5,102,14.58,227.3,86,10.23,10.6,2,2.86,3,False.,2020-04-08
IA,81,510,377-1273,no,no,0,261.4,141,44.44,77.16,215.7,102,18.33,271.8,96,12.23,8,6,2.16,1,True.,2020-09-30
DE,138,510,380-7816,yes,no,0,46.5,104,7.91,33.85,186,114,15.81,167.5,95,7.54,9.6,4,2.59,4,True.,2020-02-22
CA,103,415,402-6744,no,yes,18,149.9,84,25.48,50.84,170.9,84,14.53,171.5,112,7.72,11.5,7,3.11,0,True.,2020-08-13
WY,127,510,400-2181,yes,no,0,242.2,102,41.17,75.48,226.1,80,19.22,252,96,11.34,13.9,5,3.75,2,True.,2020-07-18
OR,136,510,366-1613,no,no,0,259.4,99,44.1,74.89,172.7,125,14.68,293.7,78,13.22,10.7,6,2.89,1,True.,2020-02-25
ME,99,415,347-8205,no,no,0,222.4,102,37.81,67.54,185.8,89,15.79,237.7,81,10.7,12,8,3.24,2,False.,2019-08-20
AR,95,415,328-2982,no,no,0,69.4,79,11.8,40.32,190.8,109,16.22,219.9,102,9.9,8.9,5,2.4,0,False.,2019-09-15
ME,118,408,384-8723,yes,yes,21,156.5,122,26.61,54.53,209.2,125,17.78,158.7,81,7.14,11.1,3,3,4,True.,2020-02-16
WV,113,415,341-7686,no,no,0,61.2,111,10.4,30.83,92.3,88,7.85,197.4,114,8.88,13.7,3,3.7,5,True.,2020-07-26
PA,128,408,353-6038,yes,no,0,245.2,112,41.68,60.05,101.5,101,8.63,152.3,116,6.85,10.7,5,2.89,0,False.,2020-03-06
HI,117,408,416-8827,no,no,0,102.3,100,17.39,42.11,135.2,104,11.49,199.7,93,8.99,15.7,10,4.24,3,False.,2019-09-12
MT,48,415,418-8450,no,yes,36,230.9,92,39.25,67.7,167.6,121,14.25,270,87,12.15,7.6,4,2.05,3,False.,2020-09-28
DC,81,510,385-7861,yes,no,0,227.4,105,38.66,71.47,211.5,120,17.98,258.2,113,11.62,11.9,3,3.21,0,False.,2019-10-11
AR,57,510,393-3507,no,no,0,192.8,68,32.78,60.24,158,86,13.43,235.5,105,10.6,12.7,6,3.43,1,False.,2020-05-27
MS,140,408,372-5262,no,no,0,162.6,98,27.64,53.75,206.2,109,17.53,141.6,66,6.37,8.2,2,2.21,1,False.,2020-06-23
OH,107,510,411-3095,no,yes,38,219.4,92,37.3,60.29,180.5,73,15.34,104.1,91,4.68,11,1,2.97,2,False.,2020-08-30
MO,56,415,331-5919,no,no,0,137.2,111,23.32,49.48,165.9,119,14.1,182.3,72,8.2,14.3,4,3.86,1,False.,2020-10-14
TX,159,415,402-1556,no,no,0,87.7,103,14.91,49.08,278.2,97,23.65,170.6,93,7.68,10.5,10,2.84,1,False.,2019-11-06
MD,102,415,349-7362,no,no,0,271.1,80,46.09,71.1,172,133,14.62,169.2,105,7.61,10.3,5,2.78,1,False.,2019-07-20
CT,107,408,339-2734,no,no,0,103.4,94,17.58,47.78,189.3,125,16.09,227.2,125,10.22,14.4,3,3.89,1,False.,2020-04-11
SC,106,408,330-4914,no,no,0,52.2,106,8.87,35.71,220.1,113,18.71,112.3,95,5.05,11.4,2,3.08,2,False.,2020-07-25
MI,225,415,371-2500,no,no,0,165.4,106,28.12,63.18,273.7,109,23.26,210,93,9.45,8.7,3,2.35,0,True.,2020-06-17
SD,75,408,335-3681,no,no,0,147.5,110,25.08,51.88,191.7,97,16.29,135,68,6.08,16.4,3,4.43,2,False.,2020-02-18
CO,86,415,405-1132,no,no,0,217.8,93,37.03,68.62,214.7,95,18.25,228.7,70,10.29,11.3,7,3.05,0,False.,2020-01-18
ID,169,415,399-9239,no,no,0,235.7,79,40.07,65.24,136.9,85,11.64,220.9,97,9.94,13.3,10,3.59,1,False.,2020-03-06
AZ,122,510,350-7227,no,yes,22,204.5,92,34.77,58.19,139.6,121,11.87,205,103,9.23,8.6,5,2.32,2,False.,2020-08-29
FL,106,408,384-6654,no,no,0,178.4,143,30.33,65.62,247,123,21,259.9,105,11.7,9.6,2,2.59,0,False.,2019-09-08
MN,52,415,376-4271,no,yes,32,130.1,68,22.12,59.8,247.2,77,21.01,289.4,87,13.02,13.5,5,3.65,2,False.,2019-09-12
DE,79,415,391-8124,no,yes,34,103.7,100,17.63,53.27,236.3,78,20.09,256.6,102,11.55,14.8,4,4,2,False.,2019-08-06
MI,135,415,393-2524,no,no,0,239.9,91,40.78,67.19,177.1,104,15.05,217.2,118,9.77,5.9,3,1.59,2,False.,2019-11-24
MS,70,408,384-4385,no,no,0,148.4,110,25.23,57.15,267.1,90,22.7,151.5,101,6.82,8.9,4,2.4,0,False.,2020-08-27
MA,80,408,377-8266,no,no,0,148.6,106,25.26,55.05,210.8,65,17.92,203.7,86,9.17,10,2,2.7,2,False.,2019-12-30
CA,37,415,345-1243,no,no,0,191.1,69,32.49,56.29,129.2,113,10.98,207.5,117,9.34,12.9,1,3.48,0,False.,2020-09-01
MN,161,415,394-8086,no,yes,39,218.5,76,37.15,57.93,112.7,94,9.58,205.1,121,9.23,7.3,4,1.97,1,False.,2019-11-14
VT,137,510,348-9145,no,no,0,97.5,95,16.58,46.22,195.8,82,16.64,288.8,78,13,0,0,0,1,False.,2019-07-15
CT,123,415,376-5201,no,no,0,128.7,126,21.88,43.73,117.6,94,10,198.4,132,8.93,10.8,5,2.92,0,False.,2020-07-13
WV,80,415,356-2093,no,yes,38,236.6,69,40.22,69.01,197.5,68,16.79,209.5,102,9.43,9.5,10,2.57,2,False.,2019-11-27
WV,94,415,353-2080,no,no,0,85.9,113,14.6,50.66,226.7,91,19.27,279.6,110,12.58,15.6,16,4.21,0,False.,2019-11-06
NE,105,415,397-7500,no,yes,27,141.2,96,24,53.68,167.7,94,14.25,274.4,101,12.35,11.4,2,3.08,1,False.,2020-06-04
NC,73,415,414-5786,no,yes,31,194.4,104,33.05,61.47,176,84,14.96,230.1,110,10.35,11.5,3,3.11,0,False.,2020-03-19
NE,112,415,388-4282,no,no,0,167.6,100,28.49,58.95,154.5,90,13.13,281.4,107,12.66,17.3,3,4.67,2,False.,2019-11-17
IL,179,408,415-5132,no,no,0,234.5,134,39.87,64.09,164.2,94,13.96,191.4,72,8.61,6.1,4,1.65,1,False.,2020-09-09
MA,57,510,352-4541,no,no,0,154.2,78,26.21,57.07,196.7,85,16.72,253.5,97,11.41,10.1,9,2.73,1,False.,2020-03-24
AZ,127,415,373-5928,no,yes,14,143.2,99,24.34,51.88,169.9,91,14.44,221.6,77,9.97,11.6,1,3.13,1,False.,2019-10-18
SD,122,415,406-7737,yes,yes,40,216.4,80,36.79,69.81,249.7,90,21.22,185.9,99,8.37,12.7,4,3.43,1,False.,2020-07-27
MT,33,510,332-7607,no,yes,35,161.9,85,27.52,51.26,151.2,82,12.85,191,131,8.59,8.5,2,2.3,1,False.,2019-07-19
VT,94,408,359-7788,no,no,0,118.7,90,20.18,48.17,205.1,57,17.43,172.2,100,7.75,10.4,6,2.81,3,False.,2020-10-07
UT,100,408,384-1549,no,no,0,179.1,123,30.45,58.31,196.6,132,16.71,186.7,116,8.4,10.2,10,2.75,1,False.,2019-09-23
HI,106,415,352-8508,no,no,0,147.9,97,25.14,52.6,209.3,99,17.79,162.1,80,7.29,8.8,5,2.38,2,False.,2019-06-06
DC,148,415,404-1002,no,yes,38,209.2,110,35.56,54.86,116.6,73,9.91,109.6,105,4.93,16.5,4,4.46,2,False.,2020-04-05
WI,120,415,414-2905,no,yes,29,244.3,140,41.53,79.3,322.3,89,27.4,166.8,83,7.51,10.6,6,2.86,0,False.,2020-05-05
UT,91,415,380-9849,no,yes,34,175.3,96,29.8,60.09,262.3,122,22.3,143.9,76,6.48,5.6,11,1.51,1,False.,2020-10-31
WA,86,510,387-6498,no,no,0,150.5,92,25.59,50.45,120.3,95,10.23,271.2,96,12.2,9,2,2.43,1,False.,2020-07-01
SD,78,415,360-6024,no,yes,25,197.4,73,33.56,71.78,295.7,113,25.13,211.7,73,9.53,13.2,2,3.56,0,False.,2020-03-16
MT,94,510,352-5815,no,no,0,163.5,136,27.8,54.81,143.7,111,12.21,253.4,82,11.4,12.6,5,3.4,1,False.,2019-07-20
NJ,85,415,366-2273,no,no,0,236.9,93,40.27,74.06,197.7,113,16.8,309.1,78,13.91,11.4,7,3.08,2,True.,2019-08-17
CT,89,415,414-9119,no,no,0,82.3,77,13.99,38.9,167.2,80,14.21,194.7,70,8.76,7.2,4,1.94,1,False.,2020-09-27
VA,128,415,409-8796,no,no,0,216,111,36.72,63.43,153.7,115,13.06,227,74,10.22,12.7,4,3.43,1,False.,2019-12-03
NC,115,415,337-2442,yes,no,0,180,119,30.6,60.62,198.8,126,16.9,217.1,70,9.77,12.4,3,3.35,1,False.,2019-08-15
AK,76,415,404-1931,no,no,0,143.7,55,24.43,51.47,173.1,108,14.71,239.1,95,10.76,5.8,6,1.57,1,False.,2019-09-18
MD,75,415,367-9765,no,yes,39,198.2,107,33.69,66.4,280.4,132,23.83,129.6,73,5.83,11.3,7,3.05,1,False.,2019-09-12
IL,90,415,378-7299,no,yes,29,185.6,106,31.55,60.06,219.7,113,18.67,152.1,120,6.84,11.1,5,3,2,False.,2019-11-26
CT,30,408,410-5192,no,no,0,137.6,108,23.39,47.18,162,80,13.77,187.7,126,8.45,5.8,10,1.57,3,False.,2019-09-20
KS,105,415,405-1108,yes,no,0,273.9,119,46.56,84.67,278.6,103,23.68,255.3,90,11.49,10.9,7,2.94,1,True.,2019-12-25
MA,102,415,392-1734,no,yes,31,125.3,92,21.3,42.57,141.2,108,12,168.2,68,7.57,6.3,2,1.7,3,False.,2019-08-28
NJ,83,415,395-6030,no,no,0,178.8,102,30.4,55.04,167.9,84,14.27,178.9,65,8.05,8.6,4,2.32,3,False.,2020-06-17
AR,63,510,330-5168,no,yes,49,214.9,86,36.53,63.28,198.2,89,16.85,170.8,139,7.69,8.2,5,2.21,0,False.,2020-03-11
MS,155,408,334-3142,no,no,0,163,93,27.71,56.27,203.9,102,17.33,159,109,7.15,15.1,4,4.08,2,False.,2020-06-23
ND,82,415,362-9983,no,yes,29,163.8,77,27.85,45.27,134.9,112,11.47,79.3,95,3.57,8.8,2,2.38,2,False.,2020-01-04
IN,87,510,414-2606,no,no,0,189.5,113,32.22,63.24,204.9,100,17.42,221.7,93,9.98,13.4,3,3.62,1,False.,2020-10-06
MI,115,415,402-4501,no,yes,26,155.2,110,26.38,59,230.9,133,19.63,261.6,100,11.77,4.5,4,1.22,0,False.,2020-10-10
AR,99,510,387-2604,yes,no,0,242.3,102,41.19,81.41,350.9,102,29.83,163.1,93,7.34,11.3,3,3.05,0,True.,2019-07-26
VT,121,415,400-3343,yes,yes,44,254.1,127,43.2,69.7,180.2,108,15.32,196.2,129,8.83,8.7,4,2.35,3,False.,2020-04-10
WV,54,510,353-2450,no,yes,33,112,90,19.04,46.53,208,112,17.68,150.3,83,6.76,11.3,4,3.05,2,False.,2019-08-05
ME,105,408,406-2032,no,no,0,115.5,73,19.64,51.09,267.3,83,22.72,114.2,90,5.14,13.3,5,3.59,3,False.,2020-07-17
IA,73,415,409-4462,no,no,0,137.1,102,23.31,52.84,210.8,114,17.92,191.4,120,8.61,11.1,4,3,1,False.,2020-06-28
CT,95,415,392-5941,no,no,0,198.4,113,33.73,71.16,235.9,144,20.05,325.6,99,14.65,10.1,3,2.73,0,False.,2020-02-14
NM,21,415,334-9182,no,yes,19,132.7,94,22.56,50.39,204.6,101,17.39,154.7,78,6.96,12.9,7,3.48,3,False.,2020-06-30
OR,163,408,346-3445,no,yes,25,219.6,99,37.33,69.86,210.4,99,17.88,242.7,88,10.92,13.8,8,3.73,2,False.,2020-07-17
VT,57,415,368-9507,no,no,0,169.6,96,28.83,64.64,234.7,112,19.95,285.4,83,12.84,11.2,4,3.02,0,False.,2019-11-10
RI,104,408,382-3966,yes,no,0,160.4,73,27.27,69.45,293.9,103,24.98,306.6,90,13.8,12.6,5,3.4,4,False.,2020-07-12
RI,83,415,334-5844,no,yes,20,95,89,16.15,42.47,167.9,92,14.27,200.6,79,9.03,11.2,2,3.02,0,False.,2020-09-05
NM,141,415,362-9411,no,no,0,160.1,87,27.22,63.08,256.7,120,21.82,270,107,12.15,7,1,1.89,2,False.,2019-11-18
